9242013 153700	1.3105E+04		1.2201E+03	9.6000E+00	6.4182E+02	2.8500E+00	1.9010E+00	8.6840E-01	0.0000E+00	1.0000E-02
9242013 163700	1.3106E+04		1.2179E+03	1.0210E+01	6.4175E+02	2.8800E+00	1.8977E+00	8.6690E-01	8.6555E-10	1.0000E-02
9242013 173700	1.3107E+04		1.2222E+03	1.0220E+01	6.4186E+02	2.8200E+00	1.9041E+00	8.6980E-01	1.7309E-09	1.0000E-02
9242013 183700	1.3108E+04		1.2202E+03	1.1170E+01	6.4172E+02	2.7400E+00	1.9015E+00	8.6860E-01	2.5962E-09	1.0000E-02
9242013 193700	1.3109E+04		1.2197E+03	8.7200E+00	6.4164E+02	2.9100E+00	1.9010E+00	8.6840E-01	3.4615E-09	1.0000E-02
9242013 203700	1.3110E+04		1.2215E+03	1.0920E+01	6.4173E+02	2.7800E+00	1.9034E+00	8.6950E-01	4.3268E-09	1.0000E-02
9242013 213700	1.3111E+04		1.2181E+03	8.9600E+00	6.4162E+02	2.7300E+00	1.8985E+00	8.6720E-01	5.1921E-09	1.0000E-02
9242013 223700	1.3112E+04		1.2184E+03	9.6500E+00	6.4165E+02	3.0300E+00	1.8988E+00	8.6740E-01	6.0574E-09	1.0000E-02
9242013 233700	1.3113E+04		1.2187E+03	9.2500E+00	6.4157E+02	2.8800E+00	1.8996E+00	8.6770E-01	6.9227E-09	1.0000E-02
9252013 003700	1.3114E+04		1.2196E+03	9.8300E+00	6.4156E+02	2.7900E+00	1.9009E+00	8.6830E-01	7.7880E-09	1.0000E-02
9252013 013700	1.3115E+04		1.2181E+03	1.0000E+01	6.4160E+02	2.7500E+00	1.8985E+00	8.6720E-01	8.6534E-09	1.0000E-02
9252013 023700	1.3116E+04		1.2198E+03	1.0210E+01	6.4157E+02	2.9200E+00	1.9012E+00	8.6850E-01	9.5187E-09	1.0000E-02
9252013 033700	1.3117E+04		1.2210E+03	9.6700E+00	6.4165E+02	2.7400E+00	1.9029E+00	8.6920E-01	1.0384E-08	1.0000E-02
9252013 043700	1.3118E+04		1.2203E+03	9.7100E+00	6.4159E+02	2.9300E+00	1.9019E+00	8.6880E-01	1.1249E-08	1.0000E-02
9252013 053700	1.3119E+04		1.2220E+03	9.9900E+00	6.4176E+02	2.7700E+00	1.9041E+00	8.6980E-01	1.2115E-08	1.0000E-02
9252013 063700	1.3120E+04		1.2183E+03	1.0290E+01	6.4172E+02	2.7500E+00	1.8984E+00	8.6720E-01	1.2980E-08	1.0000E-02
9252013 073700	1.3121E+04		1.2208E+03	8.3100E+00	6.4159E+02	2.8300E+00	1.9027E+00	8.6920E-01	1.3845E-08	1.0000E-02
9252013 083700	1.3122E+04		1.2162E+03	9.7500E+00	6.4129E+02	2.7700E+00	1.8966E+00	8.6630E-01	1.4711E-08	1.0000E-02
9252013 093700	1.3123E+04		1.2203E+03	9.7200E+00	6.4110E+02	2.8500E+00	1.9035E+00	8.6950E-01	1.5576E-08	1.0000E-02
9252013 103700	1.3124E+04		1.2261E+03	9.6500E+00	6.4384E+02	2.8700E+00	1.9043E+00	8.6990E-01	1.6441E-08	1.0000E-02
9252013 113700	1.3125E+04		1.2227E+03	1.0270E+01	6.4120E+02	2.7800E+00	1.9069E+00	8.7110E-01	1.7306E-08	1.0000E-02
9252013 123700	1.3126E+04		1.2216E+03	1.0030E+01	6.4083E+02	2.8300E+00	1.9063E+00	8.7080E-01	1.8172E-08	1.0000E-02
9252013 133700	1.3127E+04		1.2211E+03	1.0410E+01	6.4080E+02	3.0500E+00	1.9056E+00	8.7050E-01	1.9037E-08	1.0000E-02
9252013 143700	1.3128E+04		1.2210E+03	7.8000E+00	6.4076E+02	2.7500E+00	1.9055E+00	8.7040E-01	1.9902E-08	1.0000E-02
9252013 153700	1.3129E+04		1.2212E+03	9.9100E+00	6.4063E+02	2.6900E+00	1.9062E+00	8.7080E-01	2.0768E-08	1.0000E-02
9252013 163700	1.3130E+04		1.2206E+03	9.4500E+00	6.4044E+02	2.8300E+00	1.9059E+00	8.7060E-01	2.1633E-08	1.0000E-02
9252013 173700	1.3131E+04		1.2211E+03	1.0340E+01	6.4042E+02	2.6400E+00	1.9067E+00	8.7100E-01	2.2498E-08	1.0000E-02
9252013 183700	1.3132E+04		1.2212E+03	1.1060E+01	6.4042E+02	2.8700E+00	1.9069E+00	8.7110E-01	2.3364E-08	1.0000E-02
9252013 193700	1.3133E+04		1.2207E+03	1.1500E+01	6.4032E+02	2.9100E+00	1.9063E+00	8.7080E-01	2.4229E-08	1.0000E-02
9252013 203700	1.3134E+04		1.2205E+03	1.0170E+01	6.4016E+02	2.9100E+00	1.9066E+00	8.7090E-01	2.5094E-08	1.0000E-02
9252013 213700	1.3135E+04		1.2199E+03	9.1400E+00	6.4017E+02	2.8900E+00	1.9055E+00	8.7040E-01	2.5960E-08	1.0000E-02
9252013 223700	1.3136E+04		1.2195E+03	9.4000E+00	6.3991E+02	2.8900E+00	1.9057E+00	8.7050E-01	2.6825E-08	1.0000E-02
9252013 233700	1.3137E+04		1.2190E+03	1.0230E+01	6.4004E+02	2.9700E+00	1.9046E+00	8.7000E-01	2.7690E-08	1.0000E-02
9262013 003700	1.3138E+04		1.2182E+03	8.8300E+00	6.3988E+02	2.8400E+00	1.9038E+00	8.6960E-01	2.8556E-08	1.0000E-02
9262013 013700	1.3139E+04		1.2178E+03	9.2100E+00	6.3980E+02	2.8100E+00	1.9034E+00	8.6950E-01	2.9421E-08	1.0000E-02
9262013 023700	1.3140E+04		1.2174E+03	1.0720E+01	6.3968E+02	2.9700E+00	1.9031E+00	8.6940E-01	3.0286E-08	1.0000E-02
9262013 033700	1.3141E+04		1.2205E+03	1.0070E+01	6.3976E+02	3.1800E+00	1.9077E+00	8.7140E-01	3.1151E-08	1.0000E-02
9262013 043700	1.3142E+04		1.2195E+03	1.1180E+01	6.3970E+02	2.9200E+00	1.9063E+00	8.7080E-01	3.2017E-08	1.0000E-02
9262013 053700	1.3143E+04		1.2188E+03	1.0510E+01	6.3973E+02	2.9000E+00	1.9052E+00	8.7030E-01	3.2882E-08	1.0000E-02
9262013 063700	1.3144E+04		1.2190E+03	9.9500E+00	6.3968E+02	2.4900E+00	1.9056E+00	8.7050E-01	3.3747E-08	1.0000E-02
9262013 073700	1.3145E+04		1.2185E+03	9.4500E+00	6.3963E+02	2.8100E+00	1.9050E+00	8.7020E-01	3.4613E-08	1.0000E-02
9262013 083700	1.3146E+04		1.2183E+03	1.0560E+01	6.3961E+02	2.7900E+00	1.9047E+00	8.7010E-01	3.5478E-08	1.0000E-02
9262013 093700	1.3147E+04		1.2169E+03	8.5300E+00	6.3960E+02	2.7600E+00	1.9026E+00	8.6910E-01	3.6343E-08	1.0000E-02
9262013 103700	1.3148E+04		1.2136E+03	1.1180E+01	6.3969E+02	2.9400E+00	1.8972E+00	8.6660E-01	3.7209E-08	1.0000E-02
9262013 113700	1.3149E+04		1.2143E+03	9.9500E+00	6.3962E+02	2.8000E+00	1.8985E+00	8.6720E-01	3.8074E-08	1.0000E-02
9262013 123700	1.3150E+04		1.2137E+03	9.7500E+00	6.3937E+02	2.7400E+00	1.8982E+00	8.6710E-01	3.8939E-08	1.0000E-02
9262013 133700	1.3151E+04		1.2138E+03	1.0210E+01	6.3921E+02	2.7600E+00	1.8989E+00	8.6740E-01	3.9805E-08	1.0000E-02
9262013 143700	1.3152E+04		1.2142E+03	9.1000E+00	6.3912E+02	2.8500E+00	1.8998E+00	8.6780E-01	4.0670E-08	1.0000E-02
9262013 153700	1.3153E+04		1.2139E+03	9.3200E+00	6.3883E+02	2.8800E+00	1.9001E+00	8.6800E-01	4.1535E-08	1.0000E-02
9262013 163700	1.3154E+04		1.2139E+03	9.7400E+00	6.3903E+02	2.8800E+00	1.8997E+00	8.6780E-01	4.2400E-08	1.0000E-02
9262013 173700	1.3155E+04		1.2138E+03	9.4200E+00	6.3890E+02	2.9100E+00	1.8998E+00	8.6780E-01	4.3266E-08	1.0000E-02
9262013 183700	1.3156E+04		1.2156E+03	9.4000E+00	6.3895E+02	2.9500E+00	1.9025E+00	8.6910E-01	4.4131E-08	1.0000E-02
9262013 193700	1.3157E+04		1.2176E+03	8.6500E+00	6.3893E+02	2.9100E+00	1.9057E+00	8.7050E-01	4.4996E-08	1.0000E-02
9262013 203700	1.3158E+04		1.2190E+03	9.8800E+00	6.3886E+02	2.9300E+00	1.9081E+00	8.7160E-01	4.5862E-08	1.0000E-02
9262013 213700	1.3159E+04		1.2180E+03	9.8900E+00	6.3873E+02	2.9100E+00	1.9069E+00	8.7110E-01	4.6727E-08	1.0000E-02
9262013 223700	1.3160E+04		1.2166E+03	9.6100E+00	6.3871E+02	2.6700E+00	1.9048E+00	8.7010E-01	4.7592E-08	1.0000E-02
9262013 233700	1.3161E+04		1.2166E+03	1.0710E+01	6.3866E+02	2.7900E+00	1.9050E+00	8.7020E-01	4.8458E-08	1.0000E-02
9272013 003700	1.3162E+04		1.2159E+03	1.0910E+01	6.3866E+02	2.9000E+00	1.9038E+00	8.6960E-01	4.9323E-08	1.0000E-02
9272013 013700	1.3163E+04		1.2143E+03	1.0600E+01	6.3870E+02	2.7400E+00	1.9013E+00	8.6850E-01	5.0188E-08	1.0000E-02
9272013 023700	1.3164E+04		1.2180E+03	1.0420E+01	6.3869E+02	2.8500E+00	1.9070E+00	8.7110E-01	5.1054E-08	1.0000E-02
9272013 033700	1.3165E+04		1.2175E+03	9.0000E+00	6.3859E+02	2.6700E+00	1.9066E+00	8.7090E-01	5.1919E-08	1.0000E-02
9272013 043700	1.3166E+04		1.2171E+03	1.0390E+01	6.3855E+02	2.5800E+00	1.9060E+00	8.7060E-01	5.2784E-08	1.0000E-02
9272013 053700	1.3167E+04		1.2169E+03	1.0740E+01	6.3862E+02	2.8400E+00	1.9055E+00	8.7040E-01	5.3650E-08	1.0000E-02
9272013 063700	1.3168E+04		1.2154E+03	1.0860E+01	6.3870E+02	2.9800E+00	1.9029E+00	8.6920E-01	5.4515E-08	1.0000E-02
9272013 073700	1.3169E+04		1.2168E+03	9.2500E+00	6.3864E+02	2.7700E+00	1.9053E+00	8.7040E-01	5.5380E-08	1.0000E-02
9272013 083700	1.3170E+04		1.2157E+03	1.0110E+01	6.3858E+02	2.9700E+00	1.9038E+00	8.6970E-01	5.6245E-08	1.0000E-02
9272013 093700	1.3171E+04		1.2146E+03	9.5900E+00	6.3869E+02	2.9700E+00	1.9017E+00	8.6870E-01	5.7111E-08	1.0000E-02
9272013 103700	1.3172E+04		1.2139E+03	1.0510E+01	6.3875E+02	2.7900E+00	1.9004E+00	8.6810E-01	5.7976E-08	1.0000E-02
9272013 113700	1.3173E+04		1.2190E+03	8.4700E+00	6.3876E+02	2.7900E+00	1.9084E+00	8.7170E-01	5.8841E-08	1.0000E-02
9272013 123700	1.3174E+04		1.2186E+03	1.0610E+01	6.3871E+02	2.9300E+00	1.9079E+00	8.7150E-01	5.9707E-08	1.0000E-02
9272013 133700	1.3175E+04		1.2182E+03	9.4500E+00	6.3874E+02	2.9700E+00	1.9072E+00	8.7120E-01	6.0572E-08	1.0000E-02
9272013 143700	1.3176E+04		1.2177E+03	1.0430E+01	6.3858E+02	2.6400E+00	1.9068E+00	8.7100E-01	6.1437E-08	1.0000E-02
9272013 153700	1.3177E+04		1.2179E+03	8.6700E+00	6.3862E+02	2.7900E+00	1.9070E+00	8.7110E-01	6.2303E-08	1.0000E-02
9272013 163700	1.3178E+04		1.2166E+03	1.0410E+01	6.3841E+02	2.9300E+00	1.9057E+00	8.7050E-01	6.3168E-08	1.0000E-02
9272013 173700	1.3179E+04		1.2154E+03	9.4700E+00	6.3840E+02	2.8700E+00	1.9038E+00	8.6970E-01	6.4033E-08	1.0000E-02
9272013 183700	1.3180E+04		1.2137E+03	1.0190E+01	6.3850E+02	2.8800E+00	1.9008E+00	8.6830E-01	6.4899E-08	1.0000E-02
9272013 193700	1.3181E+04		1.2170E+03	1.0050E+01	6.3837E+02	2.9600E+00	1.9064E+00	8.7080E-01	6.5764E-08	1.0000E-02
9272013 203700	1.3182E+04		1.2167E+03	1.0130E+01	6.3836E+02	2.8500E+00	1.9059E+00	8.7060E-01	6.6629E-08	1.0000E-02
9272013 213700	1.3183E+04		1.2154E+03	8.9900E+00	6.3836E+02	2.9700E+00	1.9039E+00	8.6970E-01	6.7495E-08	1.0000E-02
9272013 223700	1.3184E+04		1.2163E+03	8.2400E+00	6.3847E+02	2.7900E+00	1.9051E+00	8.7020E-01	6.8360E-08	1.0000E-02
9272013 233700	1.3185E+04		1.2153E+03	9.8000E+00	6.3842E+02	2.7200E+00	1.9035E+00	8.6950E-01	6.9225E-08	1.0000E-02
9282013 003700	1.3186E+04		1.2158E+03	9.8200E+00	6.3843E+02	2.9500E+00	1.9043E+00	8.6990E-01	7.0090E-08	1.0000E-02
9282013 013700	1.3187E+04		1.2171E+03	1.0720E+01	6.3845E+02	2.9900E+00	1.9063E+00	8.7080E-01	7.0956E-08	1.0000E-02
9282013 023700	1.3188E+04		1.2169E+03	1.0170E+01	6.3845E+02	2.9700E+00	1.9060E+00	8.7060E-01	7.1821E-08	1.0000E-02
9282013 033700	1.3189E+04		1.2165E+03	9.0500E+00	6.3844E+02	2.8800E+00	1.9053E+00	8.7040E-01	7.2686E-08	1.0000E-02
9282013 043700	1.3190E+04		1.2162E+03	8.9200E+00	6.3846E+02	2.9600E+00	1.9049E+00	8.7020E-01	7.3552E-08	1.0000E-02
9282013 053700	1.3191E+04		1.2151E+03	1.0330E+01	6.3858E+02	2.8700E+00	1.9029E+00	8.6920E-01	7.4417E-08	1.0000E-02
9282013 063700	1.3192E+04		1.2161E+03	8.6700E+00	6.3867E+02	2.8500E+00	1.9041E+00	8.6980E-01	7.5282E-08	1.0000E-02
9282013 073700	1.3193E+04		1.2160E+03	1.0000E+01	6.3863E+02	3.0000E+00	1.9040E+00	8.6970E-01	7.6148E-08	1.0000E-02
9282013 083700	1.3194E+04		1.2172E+03	9.4100E+00	6.3870E+02	2.7800E+00	1.9057E+00	8.7050E-01	7.7013E-08	1.0000E-02
9282013 093700	1.3195E+04		1.2163E+03	9.5000E+00	6.3863E+02	3.0400E+00	1.9046E+00	8.7000E-01	7.7878E-08	1.0000E-02
9282013 103700	1.3196E+04		1.2178E+03	9.5100E+00	6.3882E+02	2.6400E+00	1.9064E+00	8.7080E-01	7.8744E-08	1.0000E-02
