05232012 004723	1355	16.8	19.6	32.2
05232012 014723	1356	16.6	19.6	32
05232012 024723	1357	16.6	19.6	31.8
05232012 034723	1358	16.6	19.6	31.6
05232012 044723	1359	16.6	19.6	31.6
05232012 054723	1360	16.6	19.6	31.6
05232012 064723	1361	16.6	19.6	31.6
05232012 074723	1362	16.6	19.6	31.6
05232012 084723	1363	16.6	19.6	31.6
05232012 094723	1364	16.6	19.6	31.6
05232012 104723	1365	16.4	18.8	30.6
05232012 114723	1366	16.6	19	31.6
05232012 124723	1367	16.6	19.4	32.2
05232012 134723	1368	16.6	19.6	32.6
05232012 144723	1369	16.8	19.8	32.8
05232012 154723	1370	16.8	19.8	33
05232012 164723	1371	16.8	20	33.4
05232012 174723	1372	17	20	33.6
05232012 184723	1373	17	20.2	33.6
05232012 194723	1374	17	20.2	33.6
05232012 204723	1375	17	20.2	33.6
05232012 214723	1376	17	20.2	33.8
05232012 224723	1377	17	20.2	33.6
05232012 234723	1378	17	20.2	33.8
05242012 004723	1379	17	20.2	33.6
05242012 014723	1380	17	20.2	33.6
05242012 024723	1381	17	20.2	33.6
05242012 034723	1382	17	20.2	33.6
05242012 044723	1383	17	20.2	33.4
05242012 054723	1384	17	20.2	33.2
05242012 064723	1385	17	20.2	33.2
05242012 074723	1386	16.8	20.2	33.2
05242012 084723	1387	16.8	20.2	33.2
05242012 094723	1388	17	20.2	33
05242012 104723	1389	17	20.2	33.4
05242012 114723	1390	17	20.2	33.4
05242012 124723	1391	17	20.2	33.8
05242012 134723	1392	17	20.2	34
05242012 144723	1393	17	20.4	34.2
05242012 154723	1394	17	20.4	34.4
05242012 164723	1395	17	20.4	34.6
05242012 174723	1396	17	20.6	34.6
05242012 184723	1397	17	20.6	34.8
05242012 194723	1398	17	20.6	34.8
05242012 204723	1399	17	20.6	34.8
05242012 214723	1400	17	20.6	34.8
05242012 224723	1401	17	20.6	34.8
05242012 234723	1402	17	20.6	34.8
05252012 004723	1403	17	20.6	34.6
05252012 014723	1404	17	20.6	34.6
05252012 024723	1405	17	20.6	34.4
05252012 034723	1406	17	20.6	34.2
05252012 044723	1407	17	20.4	34
05252012 054723	1408	17	20.4	33.8
05252012 064723	1409	17	20.4	33.8
05252012 074723	1410	17	20.4	33.8
05252012 084723	1411	17	20.4	34
05252012 094723	1412	17	20.6	34
05252012 105923	1413	17	20.6	34.2
05252012 115923	1414	17	20.6	34.2
05252012 125923	1415	17	20.6	34.2
05252012 135923	1416	17	20.6	34.4
05252012 145923	1417	17	20.6	34.6
05252012 155923	1418	17	20.6	34.8
05252012 165923	1419	17	20.8	35
05252012 175923	1420	17	20.8	35
05252012 185923	1421	17	20.8	35.2
05252012 195923	1422	17	20.8	35.2
05252012 205923	1423	17	20.8	35.2
05252012 215923	1424	17	20.8	35
05252012 225923	1425	17	20.8	35
05252012 235923	1426	17.2	20.8	34.8
05262012 005923	1427	17.2	20.8	34.8
05262012 015923	1428	17	20.6	34.6
05262012 025923	1429	17	20.6	34.4
05262012 035923	1430	17	20.6	34.2
